,Name of movie,Year of release,Watch time,Movie rating
0,The Shawshank Redemption,1994,142,9.3
1,The Godfather,1972,175,9.2
2,The Dark Knight,2008,152,9.0
3,Schindler's List,1993,195,9.0
4,12 Angry Men,1957,96,9.0
5,The Lord of the Rings: The Return of the King,2003,201,9.0
6,The Godfather Part II,1974,202,9.0
7,Pulp Fiction,1994,154,8.9
8,Fight Club,1999,139,8.8
9,Inception,2010,148,8.8
10,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8
11,Forrest Gump,1994,142,8.8
12,The Lord of the Rings: The Two Towers,2002,179,8.8
13,"Il buono, il brutto, il cattivo",1966,161,8.8
14,Jai Bhim,2021,164,8.8
15,777 Charlie,2022,136,8.8
16,Spider-Man: Across the Spider-Verse,2023,140,8.7
17,Interstellar,2014,169,8.7
18,Goodfellas,1990,145,8.7
19,The Matrix,1999,136,8.7
20,One Flew Over the Cuckoo's Nest,1975,133,8.7
21,Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7
22,Rocketry: The Nambi Effect,2022,157,8.7
23,Soorarai Pottru,2020,153,8.7
24,Oppenheimer,2023,180,8.6
25,Se7en,1995,127,8.6
26,The Silence of the Lambs,1991,118,8.6
27,Star Wars,1977,121,8.6
28,Saving Private Ryan,1998,169,8.6
29,The Green Mile,1999,189,8.6
30,Terminator 2: Judgment Day,1991,137,8.6
31,Sen to Chihiro no kamikakushi,2001,125,8.6
32,Cidade de Deus,2002,130,8.6
33,La vita è bella,1997,116,8.6
34,It's a Wonderful Life,1946,130,8.6
35,Shichinin no samurai,1954,207,8.6
36,Seppuku,1962,133,8.6
37,Sita Ramam,2022,163,8.6
38,Gladiator,2000,155,8.5
39,Alien,1979,117,8.5
40,Gisaengchung,2019,132,8.5
41,The Departed,2006,151,8.5
42,The Prestige,2006,130,8.5
43,Whiplash,2014,106,8.5
44,Back to the Future,1985,116,8.5
45,Léon,1994,110,8.5
46,Django Unchained,2012,165,8.5
47,The Lion King,1994,88,8.5
48,The Usual Suspects,1995,106,8.5
49,American History X,1998,119,8.5
50,Psycho,1960,109,8.5
51,The Pianist,2002,150,8.5
52,Casablanca,1942,102,8.5
53,The Intouchables,2011,112,8.5
54,Hotaru no haka,1988,89,8.5
55,Once Upon a Time in the West,1968,165,8.5
56,Rear Window,1954,112,8.5
57,Nuovo Cinema Paradiso,1988,155,8.5
58,96,II 2018,158,8.5
59,Modern Times,1936,87,8.5
60,City Lights,1931,87,8.5
61,Joker,I 2019,122,8.4
62,The Dark Knight Rises,2012,164,8.4
63,The Shining,1980,146,8.4
64,Avengers: Endgame,2019,181,8.4
65,Oldeuboi,2003,101,8.4
66,Spider-Man: Into the Spider-Verse,2018,117,8.4
67,Raiders of the Lost Ark,1981,115,8.4
68,Amadeus,1984,160,8.4
69,Aliens,1986,137,8.4
70,Memento,2000,113,8.4
71,Coco,I 2017,105,8.4
72,Apocalypse Now,1979,147,8.4
73,Idi i smotri,1985,142,8.4
74,Avengers: Infinity War,2018,149,8.4
75,Kimi no na wa.,2016,106,8.4
76,3 Idiots,2009,170,8.4
77,The Lives of Others,2006,137,8.4
78,WALL·E,2008,98,8.4
79,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.4
80,Capharnaüm,2018,126,8.4
81,Das Boot,1981,149,8.4
82,Sunset Blvd.,1950,110,8.4
83,The Great Dictator,1940,125,8.4
84,Paths of Glory,1957,88,8.4
85,Witness for the Prosecution,1957,116,8.4
86,Tengoku to jigoku,1963,143,8.4
87,Kaithi,2019,145,8.4
88,Sardar Udham,2021,164,8.4
89,Drishyam 2,2021,152,8.4
90,Asuran,2019,141,8.4
91,Inglourious Basterds,2009,153,8.3
92,Top Gun: Maverick,2022,130,8.3
93,Judgment at Nuremberg,1961,179,8.3
94,Heat,1995,170,8.3
95,American Beauty,1999,122,8.3
96,Requiem for a Dream,2000,102,8.3
97,Good Will Hunting,1997,126,8.3
98,2001: A Space Odyssey,1968,149,8.3
99,A Clockwork Orange,1971,136,8.3
